Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalOffsides,Age,Nationality,Rank
2020/21,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,2.0,30 years 13 days,Portugal,139.0
2020/21,162005.0,Jacob Murphy,Jacob,Murphy,M,14.0,Left/Right Winger,Newcastle United,NEW,2.0,29 years 181 days,England,139.0
2020/21,363006.0,Ian Poveda,Ian,Poveda,F,n/a,Right Winger,n/a,n/a,2.0,24 years 196 days,Colombia,139.0
2020/21,222663.0,Jacob Ramsey,Jacob,Ramsey,M,41.0,Midfielder,Aston Villa,AVL,2.0,23 years 87 days,England,139.0
2020/21,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,2.0,25 years 222 days,England,139.0
2020/21,360576.0,Morgan Sanson,Morgan,Sanson,M,11.0,Attacking Midfielder,n/a,n/a,2.0,30 years 5 days,France,139.0
2020/21,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,2.0,29 years 178 days,Czech Republic,139.0
2020/21,354251.0,André Gomes,André Filipe,Tavares Gomes,M,n/a,Midfielder,n/a,n/a,2.0,31 years 24 days,Portugal,139.0
2020/21,314795.0,Kenny Tete,Kenny,Tete,D,n/a,Right Full Back,Fulham,FUL,2.0,28 years 319 days,Netherlands,139.0
2020/21,349917.0,Andros Townsend,Andros,Townsend,M,30.0,Midfielder,n/a,n/a,2.0,33 years 38 days,England,139.0
2020/21,362142.0,Conor Townsend,Conor,Townsend,D,22.0,Left Full Back,West Bromwich Albion,WBA,2.0,31 years 172 days,England,139.0
2020/21,345072.0,Cengiz Ünder,Cengiz,Ünder,F,20.0,Left/Right Winger,n/a,n/a,2.0,27 years 40 days,Turkey,139.0
2020/21,277441.0,Sergio Agüero,Sergio,Agüero,F,19.0,Centre Striker,n/a,n/a,1.0,36 years 82 days,Argentina,176.0
2020/21,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,n/a,n/a,1.0,23 years 78 days,Algeria,176.0
2020/21,160580.0,Semi Ajayi,Semi,Ajayi,D,6.0,Centre Central Defender,West Bromwich Albion,WBA,1.0,30 years 288 days,Nigeria,176.0
2020/21,327670.0,Dele Alli,Dele,Alli,M,11.0,Centre Attacking Midfielder,n/a,n/a,1.0,28 years 134 days,England,176.0
2020/21,347834.0,Steven Alzate,Steven,Alzate,M,17.0,Left/Centre/Right Central Midfielder,n/a,n/a,1.0,25 years 350 days,Colombia,176.0
2020/21,342387.0,Ethan Ampadu,Ethan,Ampadu,D,4.0,Central Defender,Sheffield United,SHU,1.0,23 years 344 days,Wales,176.0
2020/21,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,Fulham,FUL,1.0,28 years 84 days,Denmark,176.0
2020/21,356787.0,Sèrge Aurier,Sèrge,Aurier,D,92.0,Right Full Back,n/a,n/a,1.0,31 years 243 days,Cote D’Ivoire,176.0
2020/21,97353.0,Charlie Austin,Charlie,Austin,F,32.0,Centre Striker,n/a,n/a,1.0,35 years 49 days,England,176.0
2020/21,342771.0,Harvey Barnes,Harvey,Barnes,M,11.0,Left/Right Winger,n/a,n/a,1.0,26 years 258 days,England,176.0
2020/21,342164.0,Héctor Bellerín,Héctor,Bellerín,D,2.0,Right Full Back,n/a,n/a,1.0,29 years 157 days,Spain,176.0
2020/21,315923.0,Steven Bergwijn,Steven,Bergwijn,F,7.0,Left/Right Winger,n/a,n/a,1.0,26 years 320 days,Netherlands,176.0
2020/21,361345.0,Jayden Bogle,Jayden,Bogle,D,2.0,Right Full Back,Sheffield United,SHU,1.0,24 years 27 days,England,176.0
2020/21,315651.0,Robert Brady,Robert,Brady,M,11.0,Left Winger,n/a,n/a,1.0,32 years 222 days,Ireland,176.0
2020/21,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,1.0,33 years 216 days,Scotland,176.0
2020/21,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,n/a,n/a,1.0,28 years 262 days,Belgium,176.0
2020/21,349855.0,Ciaran Clark,Ciaran,Clark,D,26.0,Centre Central Defender,n/a,n/a,1.0,34 years 332 days,Ireland,176.0
2020/21,14742.0,Liam Cooper,Liam,Cooper,D,6.0,Centre Central Defender,Leeds United,LEE,1.0,32 years 359 days,Scotland,176.0
2020/21,14111.0,Ben Davies,Ben,Davies,D,33.0,Left Full Back,Tottenham Hotspur,TOT,1.0,31 years 121 days,Wales,176.0
2020/21,19595.0,Kevin De Bruyne,Kevin,De Bruyne,M,17.0,Left/Centre/Right Attacking Midfielder,Manchester City,MCI,1.0,33 years 56 days,Belgium,176.0
2020/21,322882.0,Issa Diop,Issa,Diop,D,31.0,Centre Central Defender,West Ham United,WHU,1.0,27 years 227 days,France,176.0
2020/21,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,1.0,27 years 101 days,Portugal,176.0
2020/21,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,n/a,n/a,1.0,22 years 118 days,Sweden,176.0
2020/21,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,n/a,n/a,1.0,36 years 233 days,Northern Ireland,176.0
2020/21,320724.0,Eberechi Eze,Eberechi,Eze,M,10.0,Centre Attacking Midfielder,Crystal Palace,CRY,1.0,26 years 55 days,England,176.0
2020/21,267496.0,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,D,24.0,Left/Centre/Right Central Defender,n/a,n/a,1.0,26 years 234 days,Netherlands,176.0
2020/21,314640.0,Ryan Fredericks,Ryan,Fredericks,D,2.0,Right Wing Back,West Ham United,WHU,1.0,31 years 318 days,England,176.0
2020/21,323587.0,Morgan Gibbs-White,Morgan,Gibbs-White,M,10.0,Centre Central Midfielder,n/a,n/a,1.0,24 years 209 days,England,176.0
2020/21,337516.0,Anthony Gordon,Anthony,Gordon,F,10.0,Winger,n/a,n/a,1.0,23 years 181 days,England,176.0
2020/21,30985.0,Jóhann Gudmundsson,Jóhann,Gudmundsson,F,7.0,Left Winger,Burnley,BUR,1.0,33 years 301 days,Iceland,176.0
2020/21,363187.0,Ilkay Gündogan,Ilkay,Gündogan,M,19.0,Centre Central Midfielder,n/a,n/a,1.0,33 years 304 days,Germany,176.0
2020/21,356746.0,Isaac Hayden,Isaac,Hayden,M,14.0,Midfielder,Newcastle United,NEW,1.0,29 years 154 days,England,176.0
2020/21,337366.0,Ki-Jana Hoever,Ki-Jana,Hoever,D,17.0,Right Full Back,n/a,n/a,1.0,22 years 218 days,Netherlands,176.0
2020/21,357711.0,Mason Holgate,Mason,Holgate,D,5.0,Defender,n/a,n/a,1.0,27 years 306 days,England,176.0
2020/21,252230.0,Branislav Ivanovic,Branislav,Ivanovic,D,20.0,Centre/Right Central Defender,West Bromwich Albion,WBA,1.0,40 years 183 days,Serbia,176.0
2020/21,52087.0,Reece James,Reece,James,D,24.0,Right Full Back,Chelsea,CHE,1.0,24 years 259 days,England,176.0
2020/21,360685.0,Daniel Jebbison,Daniel,Jebbison,F,21.0,Centre Striker,n/a,n/a,1.0,21 years 43 days,Canada,176.0
2020/21,138634.0,Curtis Jones,Curtis,Jones,M,17.0,Centre Central Midfielder,Liverpool,LIV,1.0,23 years 206 days,England,176.0
2020/21,268675.0,Neeskens Kebano,Neeskens,Kebano,M,21.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,1.0,32 years 166 days,DR Congo,176.0
2020/21,268846.0,Jonjoe Kenny,Jonjoe,Kenny,D,16.0,Right Full Back,n/a,n/a,1.0,27 years 161 days,England,176.0
2020/21,160422.0,Ezri Konsa,Ezri,Konsa,D,4.0,Centre Central Defender,Aston Villa,AVL,1.0,26 years 305 days,England,176.0
2020/21,349514.0,Emil Krafth,Emil,Krafth,D,17.0,Right Full Back,Newcastle United,NEW,1.0,30 years 21 days,Sweden,176.0
2020/21,345135.0,Tariq Lamptey,Tariq,Lamptey,D,n/a,Defender,Brighton & Hove Albion,BHA,1.0,23 years 328 days,Ghana,176.0
2020/21,343257.0,Jamal Lewis,Jamal,Lewis,D,6.0,Left Full Back,Newcastle United,NEW,1.0,26 years 211 days,Northern Ireland,176.0
2020/21,44159.0,Victor Lindelöf,Victor,Lindelöf,D,n/a,Centre Central Defender,Manchester United,MUN,1.0,30 years 37 days,Sweden,176.0
2020/21,359871.0,John Lundstram,John,Lundstram,M,5.0,Centre Central Midfielder,Sheffield United,SHU,1.0,30 years 187 days,England,176.0
2020/21,314799.0,Vitinha,Vítor,Machado Ferreira,M,17.0,Centre Attacking Midfielder,n/a,n/a,1.0,24 years 192 days,Portugal,176.0
2020/21,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,1.0,31 years 171 days,England,176.0
2020/21,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,1.0,23 years 66 days,Brazil,176.0
2020/21,341051.0,Arthur Masuaku,Arthur,Masuaku,D,26.0,Left Full Back,n/a,n/a,1.0,30 years 290 days,DR Congo,176.0
2020/21,135200.0,John McGinn,John,McGinn,M,7.0,Centre Central Midfielder,Aston Villa,AVL,1.0,29 years 310 days,Scotland,176.0
2020/21,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,1.0,27 years 259 days,Scotland,176.0
2020/21,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Burnley,BUR,1.0,34 years 337 days,England,176.0
2020/21,343697.0,Benjamin Mendy,Benjamin,Mendy,D,5.0,Left Full Back,n/a,n/a,1.0,30 years 37 days,France,176.0
2020/21,336374.0,David Luiz,David Luiz,Moreira Marinho,D,23.0,Centre Central Defender,n/a,n/a,1.0,37 years 123 days,Brazil,176.0
2020/21,320884.0,Joel Mumbongo,Joel,Mumbongo,F,25.0,Centre Striker,n/a,n/a,1.0,25 years 227 days,Sweden,176.0
2020/21,342773.0,Alex Telles,Alex,Nicolao Telles,D,15.0,Left Full Back,n/a,n/a,1.0,31 years 252 days,Brazil,176.0
2020/21,340627.0,Dan Nlundulu,Dan,Nlundulu,F,11.0,Centre Striker,n/a,n/a,1.0,25 years 200 days,England,176.0
2020/21,4029.0,Mark Noble,Mark,Noble,M,16.0,Centre Central Midfielder,n/a,n/a,1.0,37 years 107 days,England,176.0
2020/21,30925.0,Jack O'Connell,Jack,O'Connell,D,5.0,Centre Central Defender,n/a,n/a,1.0,30 years 147 days,England,176.0
2020/21,359203.0,Denis Odoi,Denis,Odoi,D,6.0,Defender,n/a,n/a,1.0,36 years 88 days,Ghana,176.0
2020/21,322089.0,Angelo Ogbonna,Angelo,Ogbonna,D,n/a,Central Defender,n/a,n/a,1.0,36 years 92 days,Italy,176.0
2020/21,361241.0,Jaden Philogene,Jaden,Philogene,F,19.0,Left/Right Winger,n/a,n/a,1.0,22 years 197 days,England,176.0
2020/21,327274.0,Erik Pieters,Erik,Pieters,D,15.0,Left Full Back,Burnley,BUR,1.0,36 years 16 days,Netherlands,176.0
2020/21,355776.0,Sergio Reguilón,Sergio,Reguilón,D,12.0,Left Full Back,Tottenham Hotspur,TOT,1.0,27 years 251 days,Spain,176.0
2020/21,96853.0,Matt Ritchie,Matt,Ritchie,M,30.0,Left/Right Wing Back,n/a,n/a,1.0,34 years 348 days,Scotland,176.0
2020/21,190129.0,Antonee Robinson,Antonee,Robinson,D,33.0,Left Full Back,Fulham,FUL,1.0,27 years 15 days,United States,176.0
2020/21,359914.0,Joe Rodon,Joe,Rodon,D,6.0,Central Defender,n/a,n/a,1.0,26 years 306 days,Wales,176.0
2020/21,345071.0,Fred,Frederico,Rodrigues de Paula Santos,M,35.0,Centre Central Midfielder,n/a,n/a,1.0,31 years 171 days,Brazil,176.0
2020/21,315688.0,Antonio Rüdiger,Antonio,Rüdiger,D,22.0,Centre Central Defender,n/a,n/a,1.0,31 years 173 days,Germany,176.0
2020/21,355414.0,Romain Saïss,Romain,Saïss,D,14.0,Centre Central Defender,n/a,n/a,1.0,34 years 150 days,Morocco,176.0
2020/21,275377.0,Fabian Schär,Fabian,Schär,D,n/a,Defender,Newcastle United,NEW,1.0,32 years 247 days,Switzerland,176.0
2020/21,360096.0,Jamie Shackleton,Jamie,Shackleton,D,16.0,Right Full Back,Leeds United,LEE,1.0,24 years 320 days,England,176.0
2020/21,326932.0,Robert Snodgrass,Robert,Snodgrass,M,77.0,Left/Right Attacking Midfielder,n/a,n/a,1.0,36 years 351 days,Scotland,176.0
2020/21,31291.0,John Stones,John,Stones,D,5.0,Centre Central Defender,Manchester City,MCI,1.0,30 years 87 days,England,176.0
2020/21,359468.0,Charlie Taylor,Charlie,Taylor,D,21.0,Left Full Back,Burnley,BUR,1.0,30 years 340 days,England,176.0
2020/21,255674.0,Diogo Jota,Diogo José,Teixeira da Silva,F,20.0,Left/Centre/Right Striker,Liverpool,LIV,1.0,27 years 263 days,Portugal,176.0
2020/21,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,1.0,33 years 46 days,Netherlands,176.0
2020/21,358481.0,Jake Vokins,Jake,Vokins,D,n/a,Defender,n/a,n/a,1.0,24 years 159 days,England,176.0
2020/21,50015.0,Kyle Walker,Kyle,Walker,D,2.0,Right Full Back,Manchester City,MCI,1.0,34 years 87 days,England,176.0
2020/21,362816.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,D,29.0,Right Full Back,n/a,n/a,1.0,26 years 271 days,England,176.0
2020/21,128164.0,Joel Ward,Joel,Ward,D,n/a,Defender,Crystal Palace,CRY,1.0,34 years 299 days,England,176.0
2020/21,336893.0,Adam Webster,Adam,Webster,D,4.0,Defender,Brighton & Hove Albion,BHA,1.0,29 years 232 days,England,176.0
2020/21,284417.0,Ben White,Ben,White,D,4.0,Centre/Right Central Defender,n/a,n/a,1.0,26 years 320 days,England,176.0
2020/21,344329.0,Granit Xhaka,Granit,Xhaka,M,34.0,Central Midfielder,n/a,n/a,1.0,31 years 331 days,Switzerland,176.0
2020/21,312091.0,DeAndre Yedlin,DeAndre,Yedlin,D,2.0,Right Full Back,n/a,n/a,1.0,31 years 45 days,United States,176.0
2020/21,362177.0,Okay Yokuslu,Okay,Yokuslu,M,35.0,Defensive Midfielder,West Bromwich Albion,WBA,1.0,30 years 167 days,Turkey,176.0
2020/21,319999.0,Oleksandr Zinchenko,Oleksandr,Zinchenko,D,17.0,Left Full Back,n/a,n/a,1.0,27 years 252 days,Ukraine,176.0
2020/21,288147.0,Martin Ødegaard,Martin,Ødegaard,M,8.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,1.0,25 years 250 days,Norway,176.0
2020/21,342774.0,Daniel Amartey,Daniel,Amartey,D,12.0,Centre Central Defender,n/a,n/a,0.0,29 years 246 days,Ghana,265.0
2020/21,129749.0,Ricardo Pereira,Ricardo Domingos,Barbosa Pereira,D,21.0,Right Full Back,Leicester City,LEI,0.0,30 years 322 days,Portugal,265.0
2020/21,289837.0,Kean Bryan,Kean,Bryan,D,23.0,Centre Central Defender,Sheffield United,SHU,0.0,27 years 296 days,England,265.0
2020/21,340930.0,Conor Coady,Conor,Coady,D,4.0,Centre Central Defender,n/a,n/a,0.0,31 years 180 days,England,265.0
2020/21,354649.0,Rúben Neves,Rúben Diogo,da Silva Neves,M,8.0,Centre Central Midfielder,n/a,n/a,0.0,27 years 163 days,Portugal,265.0
2020/21,356762.0,John Fleck,John,Fleck,M,23.0,Centre Central Midfielder,n/a,n/a,0.0,32 years 365 days,Scotland,265.0
2020/21,363122.0,Conor Gallagher,Conor,Gallagher,M,4.0,Centre Central Midfielder,West Bromwich Albion,WBA,0.0,24 years 199 days,England,265.0
2020/21,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,n/a,n/a,0.0,27 years 92 days,England,265.0
2020/21,323012.0,Cheikhou Kouyaté,Cheikhou,Kouyaté,M,8.0,Centre Defensive Midfielder,n/a,n/a,0.0,34 years 246 days,Senegal,265.0
2020/21,336342.0,Mario Lemina,Mario,Lemina,M,5.0,Centre Central Midfielder,Fulham,FUL,0.0,30 years 357 days,Gabon,265.0
2020/21,340453.0,Alexis Mac Allister,Alexis,Mac Allister,M,10.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,0.0,25 years 243 days,Argentina,265.0
2020/21,202622.0,Harrison Reed,Harrison,Reed,M,6.0,Centre Central Midfielder,Fulham,FUL,0.0,29 years 209 days,England,265.0
2020/21,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,0.0,37 years 292 days,Denmark,265.0
2020/21,357917.0,Jonjo Shelvey,Jonjo,Shelvey,M,6.0,Central Midfielder,Newcastle United,NEW,0.0,32 years 178 days,England,265.0
2020/21,287383.0,Joe Willock,Joe,Willock,M,28.0,Centre Attacking Midfielder,n/a,n/a,0.0,25 years 3 days,England,265.0
2019/20,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,n/a,n/a,35.0,32 years 260 days,New Zealand,1.0
2019/20,219427.0,Callum Wilson,Callum,Wilson,F,9.0,Centre Striker,n/a,n/a,32.0,32 years 178 days,England,2.0
2019/20,11259.0,Jamie Vardy,Jamie,Vardy,F,9.0,Centre Striker,Leicester City,LEI,28.0,37 years 225 days,England,3.0
2019/20,154335.0,Miguel Almirón,Miguel,Almirón,M,24.0,Left/Centre/Right Second Striker,Newcastle United,NEW,24.0,30 years 195 days,Paraguay,4.0
2019/20,289629.0,Tammy Abraham,Tammy,Abraham,F,9.0,Centre Striker,n/a,n/a,23.0,26 years 326 days,England,5.0
2019/20,95187.0,Jay Rodriguez,Jay,Rodriguez,F,9.0,Left/Centre/Right Second Striker,Burnley,BUR,22.0,35 years 25 days,England,6.0
2019/20,160671.0,Joelinton,Joelinton Cássio,Apolinário de Lira,F,7.0,Centre Striker,Newcastle United,NEW,20.0,28 years 9 days,Brazil,7.0
2019/20,345706.0,Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,F,10.0,Striker,n/a,n/a,20.0,35 years 66 days,Gabon,7.0
2019/20,344721.0,Harry Kane,Harry,Kane,F,9.0,Striker,n/a,n/a,20.0,31 years 26 days,England,7.0
2019/20,47184.0,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,F,11.0,Left/Centre/Right Winger,Liverpool,LIV,20.0,32 years 69 days,Egypt,7.0
2019/20,315355.0,Gabriel Jesus,Gabriel Fernando,de Jesus,F,9.0,Second Striker,n/a,n/a,19.0,27 years 142 days,Brazil,11.0
2019/20,281578.0,Gerard Deulofeu,Gerard,Deulofeu,F,10.0,Left Winger,n/a,n/a,18.0,30 years 163 days,Spain,12.0
2019/20,315703.0,Sébastien Haller,Sébastien,Haller,F,9.0,Centre Striker,n/a,n/a,18.0,30 years 62 days,Cote D’Ivoire,12.0
2019/20,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,n/a,n/a,18.0,33 years 110 days,Mexico,12.0
2019/20,314636.0,Richarlison,Richarlison,de Andrade,F,9.0,Left/Centre/Right Second Striker,n/a,n/a,17.0,27 years 105 days,Brazil,15.0
2019/20,130627.0,Teemu Pukki,Teemu,Pukki,F,22.0,Centre Striker,Norwich City,NOR,17.0,34 years 147 days,Finland,15.0
2019/20,20239.0,Son Heung-Min,Heung-Min,Son,F,7.0,Left/Centre/Right Winger,Tottenham Hotspur,TOT,17.0,32 years 46 days,South Korea,15.0
2019/20,338506.0,Lys Mousset,Lys,Mousset,F,7.0,Centre Striker,n/a,n/a,16.0,28 years 197 days,France,18.0
2019/20,342776.0,Wilfried Zaha,Wilfried,Zaha,F,14.0,Left/Centre/Right Winger,n/a,n/a,16.0,31 years 287 days,Cote D’Ivoire,18.0
2019/20,346844.0,Neal Maupay,Neal,Maupay,F,7.0,Centre Striker,Brighton & Hove Albion,BHA,15.0,28 years 9 days,France,20.0
2019/20,343485.0,Aaron Connolly,Aaron,Connolly,F,44.0,Centre Striker,n/a,n/a,14.0,24 years 208 days,Ireland,21.0
2019/20,343482.0,Sadio Mané,Sadio,Mané,F,10.0,Left/Right Second Striker,n/a,n/a,14.0,32 years 135 days,Senegal,21.0
2019/20,357649.0,Wesley,Wesley,Moraes Ferreira da Silva,F,n/a,Striker,n/a,n/a,14.0,27 years 273 days,Brazil,21.0
2019/20,340758.0,Ashley Barnes,Ashley,Barnes,F,10.0,Centre Striker,n/a,n/a,13.0,34 years 298 days,England,24.0
2019/20,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,13.0,27 years 160 days,England,24.0
2019/20,112119.0,Alexandre Lacazette,Alexandre,Lacazette,F,10.0,Centre Striker,Arsenal,ARS,13.0,33 years 87 days,France,24.0
2019/20,131779.0,Riyad Mahrez,Riyad,Mahrez,F,26.0,Left/Right Winger,n/a,n/a,13.0,33 years 184 days,Algeria,24.0
2019/20,19620.0,Marcus Rashford,Marcus,Rashford,F,10.0,Left/Centre Second Striker,Manchester United,MUN,13.0,26 years 297 days,England,24.0
2019/20,362159.0,Ismaïla Sarr,Ismaïla,Sarr,F,7.0,Right Winger,n/a,n/a,13.0,26 years 180 days,Senegal,24.0
2019/20,322315.0,Christian Benteke,Christian,Benteke,F,20.0,Forward,n/a,n/a,12.0,33 years 264 days,Belgium,30.0
2019/20,345118.0,Troy Deeney,Troy,Deeney,F,14.0,Centre Striker,n/a,n/a,12.0,36 years 55 days,England,30.0
2019/20,362146.0,Anwar El Ghazi,Anwar,El Ghazi,F,20.0,Left/Right Winger,n/a,n/a,12.0,29 years 112 days,Netherlands,30.0
2019/20,336747.0,Danny Ings,Danny,Ings,F,n/a,Striker,n/a,n/a,12.0,32 years 31 days,England,30.0
2019/20,96938.0,Shane Long,Shane,Long,F,7.0,Centre Striker,Southampton,SOU,12.0,37 years 214 days,Ireland,30.0
2019/20,301809.0,Anthony Martial,Anthony,Martial,F,22.0,Left/Centre/Right Striker,n/a,n/a,12.0,28 years 262 days,France,30.0
2019/20,340871.0,David McGoldrick,David,McGoldrick,F,17.0,Centre Striker,Sheffield United,SHU,12.0,36 years 268 days,Ireland,30.0
2019/20,317508.0,Raheem Sterling,Raheem,Sterling,F,7.0,Left/Centre/Right Second Striker,n/a,n/a,12.0,29 years 259 days,England,30.0
2019/20,327643.0,Michail Antonio,Michail,Antonio,F,n/a,Centre Striker,West Ham United,WHU,11.0,34 years 148 days,Jamaica,38.0
2019/20,53174.0,George Baldock,George,Baldock,D,2.0,Right Full Back,Sheffield United,SHU,11.0,31 years 167 days,Greece,38.0
2019/20,30301.0,Billy Sharp,Billy,Sharp,F,14.0,Striker,n/a,n/a,11.0,38 years 200 days,England,38.0
2019/20,161456.0,Ché Adams,Ché,Adams,F,10.0,Centre Striker,n/a,n/a,10.0,28 years 41 days,Scotland,41.0
2019/20,268503.0,Glenn Murray,Glenn,Murray,F,25.0,Centre Striker,n/a,n/a,10.0,40 years 333 days,England,41.0
2019/20,135654.0,Bukayo Saka,Bukayo,Saka,F,77.0,Left Winger,n/a,n/a,10.0,22 years 353 days,England,41.0
2019/20,277556.0,Theo Walcott,Theo,Walcott,F,32.0,Right Winger,n/a,n/a,10.0,35 years 160 days,England,41.0
2019/20,160688.0,Jordan Ayew,Jordan,Ayew,F,9.0,Centre Striker,Crystal Palace,CRY,9.0,32 years 347 days,Ghana,45.0
2019/20,281624.0,Olivier Giroud,Olivier,Giroud,F,9.0,Centre Striker,n/a,n/a,9.0,37 years 328 days,France,45.0
2019/20,362144.0,Kelechi Iheanacho,Kelechi,Iheanacho,F,9.0,Centre Striker,n/a,n/a,9.0,27 years 325 days,Nigeria,45.0
2019/20,362163.0,Pascal Groß,Pascal,Groß,M,13.0,Centre Central Midfielder,n/a,n/a,8.0,33 years 69 days,Germany,48.0
2019/20,300661.0,Onel Hernández,Onel,Hernández,M,25.0,Left/Right Winger,n/a,n/a,8.0,31 years 204 days,Cuba,48.0
2019/20,347399.0,Mbwana Samatta,Mbwana,Samatta,F,70.0,Forward,n/a,n/a,8.0,31 years 244 days,Tanzania,48.0
2019/20,265104.0,Andrii Yarmolenko,Andrii,Yarmolenko,F,n/a,Winger,West Ham United,WHU,8.0,34 years 305 days,Ukraine,48.0
2019/20,359639.0,Michy Batshuayi,Michy,Batshuayi,F,44.0,Left/Centre Striker,n/a,n/a,7.0,30 years 326 days,Belgium,52.0
2019/20,324227.0,Josip Drmic,Josip,Drmic,F,18.0,Forward,n/a,n/a,7.0,32 years 15 days,Switzerland,52.0
2019/20,356767.0,Pablo Fornals,Pablo,Fornals,M,18.0,Attacking Midfielder,n/a,n/a,7.0,28 years 183 days,Spain,52.0
2019/20,317864.0,Joshua King,Joshua,King,F,15.0,Left/Centre/Right Striker,n/a,n/a,7.0,32 years 221 days,Norway,52.0
2019/20,359871.0,John Lundstram,John,Lundstram,M,5.0,Centre Central Midfielder,Sheffield United,SHU,7.0,30 years 187 days,England,52.0
2019/20,277441.0,Sergio Agüero,Sergio,Agüero,F,19.0,Centre Striker,n/a,n/a,6.0,36 years 82 days,Argentina,57.0
2019/20,327670.0,Dele Alli,Dele,Alli,M,11.0,Centre Attacking Midfielder,n/a,n/a,6.0,28 years 134 days,England,57.0
2019/20,356787.0,Sèrge Aurier,Sèrge,Aurier,D,92.0,Right Full Back,n/a,n/a,6.0,31 years 243 days,Cote D’Ivoire,57.0
2019/20,19511.0,Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,F,9.0,Left/Centre/Right Striker,n/a,n/a,6.0,32 years 326 days,Brazil,57.0
2019/20,327316.0,Andy Carroll,Andy,Carroll,F,9.0,Centre Striker,n/a,n/a,6.0,35 years 230 days,England,57.0
2019/20,358596.0,Arnaut Danjuma,Arnaut,Danjuma,F,n/a,Forward,n/a,n/a,6.0,27 years 205 days,Netherlands,57.0
2019/20,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,n/a,n/a,6.0,31 years 235 days,Mali,57.0
2019/20,288974.0,Andre Gray,Andre,Gray,F,19.0,Centre Striker,n/a,n/a,6.0,33 years 58 days,Jamaica,57.0
2019/20,315554.0,Trézéguet,Mahmoud Ahmed Ibrahim,Hassan,M,10.0,Left/Right Winger,n/a,n/a,6.0,29 years 327 days,Egypt,57.0
2019/20,161345.0,Harry Maguire,Harry,Maguire,D,5.0,Centre Central Defender,Manchester United,MUN,6.0,31 years 171 days,England,57.0
2019/20,324745.0,Mesut Özil,Mesut,Özil,M,10.0,Centre Attacking Midfielder,n/a,n/a,6.0,35 years 313 days,Germany,57.0
2019/20,362819.0,Ayoze Pérez,Ayoze,Pérez,F,22.0,Left/Centre/Right Winger,n/a,n/a,6.0,31 years 25 days,Spain,57.0
2019/20,344967.0,Adama Traoré,Adama,Traoré,F,11.0,Winger,n/a,n/a,6.0,28 years 211 days,Spain,57.0
2019/20,15123.0,Chris Basham,Chris,Basham,D,6.0,Centre Central Defender,Sheffield United,SHU,5.0,36 years 34 days,England,70.0
2019/20,343543.0,Sead Kolasinac,Sead,Kolasinac,D,23.0,Left Full Back,n/a,n/a,5.0,31 years 64 days,Bosnia & Herzegovina,70.0
2019/20,361726.0,Oliver McBurnie,Oliver,McBurnie,F,16.0,Centre Striker,Sheffield United,SHU,5.0,28 years 80 days,Scotland,70.0
2019/20,281575.0,Roberto Pereyra,Roberto,Pereyra,M,37.0,Centre Attacking Midfielder,n/a,n/a,5.0,33 years 229 days,Argentina,70.0
